,raw_positives,7-day_avg
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.14285714285714285
2020-03-11,0.0,0.14285714285714285
2020-03-12,0.0,0.14285714285714285
2020-03-13,1.0,0.14285714285714285
2020-03-14,0.0,0.5714285714285714
2020-03-15,0.0,1.2857142857142858
2020-03-16,0.0,1.7142857142857142
2020-03-17,3.0,2.0
2020-03-18,5.0,2.142857142857143
2020-03-19,3.0,3.5714285714285716
2020-03-20,3.0,5.428571428571429
2020-03-21,1.0,5.571428571428571
2020-03-22,10.0,5.857142857142857
2020-03-23,13.0,7.428571428571429
2020-03-24,4.0,8.571428571428571
2020-03-25,7.0,10.857142857142858
2020-03-26,14.0,12.142857142857142
2020-03-27,11.0,11.428571428571429
2020-03-28,17.0,12.285714285714286
2020-03-29,19.0,13.142857142857142
